insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S1', '2:27 PM', TO_DATE('11-08-2021', 'dd-mm-yyyy'), 'H5', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S23', '9:56 PM', TO_DATE('14-08-2023', 'dd-mm-yyyy'), 'H10', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S24', '6:29 PM', TO_DATE('17-06-2022', 'dd-mm-yyyy'), 'H2', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S25', '6:28 PM', TO_DATE('05-08-2022', 'dd-mm-yyyy'), 'H1', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S26', '3:36 PM', TO_DATE('09-11-2023', 'dd-mm-yyyy'), 'H3', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S27', '9:32 PM', TO_DATE('06-09-2023', 'dd-mm-yyyy'), 'H4', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S28', '5:24 PM', TO_DATE('26-01-2022', 'dd-mm-yyyy'), 'H6', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S29', '9:38 PM', TO_DATE('28-07-2022', 'dd-mm-yyyy'), 'H9', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S30', '8:08 AM', TO_DATE('08-09-2023', 'dd-mm-yyyy'), 'H10', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S31', '6:11 PM', TO_DATE('05-09-2022', 'dd-mm-yyyy'), 'H2', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S32', '12:45 PM', TO_DATE('19-10-2021', 'dd-mm-yyyy'), 'H5', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S33', '11:13 AM', TO_DATE('15-07-2023', 'dd-mm-yyyy'), 'H7', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S34', '2:32 PM', TO_DATE('05-10-2023', 'dd-mm-yyyy'), 'H9', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S35', '10:51 AM', TO_DATE('09-03-2021', 'dd-mm-yyyy'), 'H10', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S36', '3:19 PM', TO_DATE('01-03-2022', 'dd-mm-yyyy'), 'H1', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S37', '6:55 PM', TO_DATE('11-08-2022', 'dd-mm-yyyy'), 'H3', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S38', '4:27 PM', TO_DATE('22-06-2023', 'dd-mm-yyyy'), 'H5', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S39', '7:07 PM', TO_DATE('15-07-2021', 'dd-mm-yyyy'), 'H7', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S40', '12:56 PM', TO_DATE('17-03-2021', 'dd-mm-yyyy'), 'H9', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S41', '7:28 PM', TO_DATE('08-08-2022', 'dd-mm-yyyy'), 'H10', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S42', '5:47 PM', TO_DATE('08-05-2021', 'dd-mm-yyyy'), 'H1', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S43', '6:21 PM', TO_DATE('14-12-2021', 'dd-mm-yyyy'), 'H3', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S44', '10:40 AM', TO_DATE('28-07-2023', 'dd-mm-yyyy'), 'H5', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S45', '10:05 AM', TO_DATE('04-02-2021', 'dd-mm-yyyy'), 'H7', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S46', '2:16 PM', TO_DATE('25-12-2022', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S47', '4:13 PM', TO_DATE('11-03-2022', 'dd-mm-yyyy'), 'H10', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S48', '12:38 PM', TO_DATE('29-09-2021', 'dd-mm-yyyy'), 'H2', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S49', '3:08 PM', TO_DATE('04-01-2023', 'dd-mm-yyyy'), 'H4', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S50', '7:04 PM', TO_DATE('26-08-2022', 'dd-mm-yyyy'), 'H6', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S51', '11:11 AM', TO_DATE('26-12-2022', 'dd-mm-yyyy'), 'H8', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S52', '12:01 PM', TO_DATE('02-03-2022', 'dd-mm-yyyy'), 'H9', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S53', '8:28 PM', TO_DATE('17-09-2023', 'dd-mm-yyyy'), 'H10', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S54', '8:08 AM', TO_DATE('26-09-2023', 'dd-mm-yyyy'), 'H1', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S55', '5:16 PM', TO_DATE('13-10-2022', 'dd-mm-yyyy'), 'H3', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S56', '7:17 PM', TO_DATE('10-06-2022', 'dd-mm-yyyy'), 'H5', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S57', '11:00 AM', TO_DATE('31-08-2021', 'dd-mm-yyyy'), 'H6', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S58', '7:22 PM', TO_DATE('03-06-2023', 'dd-mm-yyyy'), 'H7', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S59', '10:30 AM', TO_DATE('19-01-2021', 'dd-mm-yyyy'), 'H9', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S60', '3:56 PM', TO_DATE('30-03-2023', 'dd-mm-yyyy'), 'H10', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S61', '2:33 PM', TO_DATE('24-06-2023', 'dd-mm-yyyy'), 'H1', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S62', '9:31 AM', TO_DATE('17-03-2022', 'dd-mm-yyyy'), 'H3', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S63', '1:46 PM', TO_DATE('07-10-2021', 'dd-mm-yyyy'), 'H5', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S64', '2:17 PM', TO_DATE('11-12-2021', 'dd-mm-yyyy'), 'H6', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S65', '8:48 PM', TO_DATE('29-10-2021', 'dd-mm-yyyy'), 'H7', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S66', '3:21 PM', TO_DATE('03-07-2023', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S67', '8:45 AM', TO_DATE('04-08-2023', 'dd-mm-yyyy'), 'H10', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S68', '11:19 AM', TO_DATE('28-12-2021', 'dd-mm-yyyy'), 'H1', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S69', '8:33 AM', TO_DATE('12-12-2022', 'dd-mm-yyyy'), 'H3', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S70', '3:37 PM', TO_DATE('19-11-2023', 'dd-mm-yyyy'), 'H5', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S71', '9:39 AM', TO_DATE('06-09-2023', 'dd-mm-yyyy'), 'H6', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S72', '2:17 PM', TO_DATE('17-01-2022', 'dd-mm-yyyy'), 'H7', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S73', '3:59 PM', TO_DATE('11-04-2022', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S74', '11:07 AM', TO_DATE('14-09-2023', 'dd-mm-yyyy'), 'H10', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S75', '8:28 AM', TO_DATE('23-06-2022', 'dd-mm-yyyy'), 'H1', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S76', '3:27 PM', TO_DATE('02-03-2023', 'dd-mm-yyyy'), 'H3', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S77', '6:21 PM', TO_DATE('27-03-2023', 'dd-mm-yyyy'), 'H5', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S78', '9:13 PM', TO_DATE('14-09-2023', 'dd-mm-yyyy'), 'H6', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S79', '8:04 PM', TO_DATE('11-12-2022', 'dd-mm-yyyy'), 'H7', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S80', '5:11 PM', TO_DATE('05-08-2021', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S81', '11:05 AM', TO_DATE('05-01-2023', 'dd-mm-yyyy'), 'H10', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S82', '1:41 PM', TO_DATE('19-03-2022', 'dd-mm-yyyy'), 'H1', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S83', '1:58 PM', TO_DATE('10-04-2021', 'dd-mm-yyyy'), 'H3', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S84', '9:52 PM', TO_DATE('26-04-2021', 'dd-mm-yyyy'), 'H5', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S85', '11:42 AM', TO_DATE('08-08-2022', 'dd-mm-yyyy'), 'H6', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S86', '6:49 PM', TO_DATE('04-07-2022', 'dd-mm-yyyy'), 'H7', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S87', '12:43 PM', TO_DATE('20-07-2023', 'dd-mm-yyyy'), 'H9', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S88', '4:27 PM', TO_DATE('12-06-2022', 'dd-mm-yyyy'), 'H10', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S89', '6:38 PM', TO_DATE('25-08-2022', 'dd-mm-yyyy'), 'H1', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S90', '10:22 AM', TO_DATE('01-10-2021', 'dd-mm-yyyy'), 'H3', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S91', '3:32 PM', TO_DATE('17-12-2023', 'dd-mm-yyyy'), 'H5', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S92', '5:29 PM', TO_DATE('28-11-2021', 'dd-mm-yyyy'), 'H6', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S93', '8:46 PM', TO_DATE('19-03-2022', 'dd-mm-yyyy'), 'H7', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S94', '9:21 PM', TO_DATE('30-05-2022', 'dd-mm-yyyy'), 'H9', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S95', '1:17 PM', TO_DATE('15-10-2022', 'dd-mm-yyyy'), 'H10', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S96', '2:43 PM', TO_DATE('24-01-2021', 'dd-mm-yyyy'), 'H1', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S97', '10:11 AM', TO_DATE('07-11-2021', 'dd-mm-yyyy'), 'H3', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S98', '7:08 PM', TO_DATE('12-09-2021', 'dd-mm-yyyy'), 'H5', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S99', '6:23 PM', TO_DATE('28-08-2021', 'dd-mm-yyyy'), 'H6', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S100', '5:28 PM', TO_DATE('19-10-2021', 'dd-mm-yyyy'), 'H7', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S101', '12:23 PM', TO_DATE('09-06-2022', 'dd-mm-yyyy'), 'H6', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S102', '1:30 PM', TO_DATE('03-01-2022', 'dd-mm-yyyy'), 'H4', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S103', '4:05 PM', TO_DATE('03-06-2021', 'dd-mm-yyyy'), 'H8', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S104', '4:29 PM', TO_DATE('04-07-2022', 'dd-mm-yyyy'), 'H2', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S105', '10:00 AM', TO_DATE('04-04-2021', 'dd-mm-yyyy'), 'H7', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S106', '6:24 PM', TO_DATE('09-02-2023', 'dd-mm-yyyy'), 'H10', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S107', '10:07 AM', TO_DATE('04-11-2021', 'dd-mm-yyyy'), 'H5', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S108', '1:27 PM', TO_DATE('28-11-2023', 'dd-mm-yyyy'), 'H9', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S109', '9:18 PM', TO_DATE('29-07-2022', 'dd-mm-yyyy'), 'H3', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S110', '10:16 AM', TO_DATE('25-12-2021', 'dd-mm-yyyy'), 'H1', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S111', '8:31 AM', TO_DATE('24-06-2021', 'dd-mm-yyyy'), 'H2', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S112', '10:03 AM', TO_DATE('02-06-2021', 'dd-mm-yyyy'), 'H3', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S113', '12:11 PM', TO_DATE('26-06-2021', 'dd-mm-yyyy'), 'H4', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S114', '7:18 PM', TO_DATE('19-06-2022', 'dd-mm-yyyy'), 'H5', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S115', '4:44 PM', TO_DATE('04-05-2021', 'dd-mm-yyyy'), 'H6', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S116', '11:57 AM', TO_DATE('14-11-2022', 'dd-mm-yyyy'), 'H7', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S117', '1:45 PM', TO_DATE('24-06-2022', 'dd-mm-yyyy'), 'H8', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S118', '7:43 PM', TO_DATE('04-08-2021', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S119', '11:41 AM', TO_DATE('20-12-2022', 'dd-mm-yyyy'), 'H10', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S120', '10:55 AM', TO_DATE('11-06-2021', 'dd-mm-yyyy'), 'H1', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S121', '9:14 PM', TO_DATE('25-08-2022', 'dd-mm-yyyy'), 'H2', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S122', '3:33 PM', TO_DATE('17-09-2022', 'dd-mm-yyyy'), 'H3', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S123', '6:07 PM', TO_DATE('18-06-2023', 'dd-mm-yyyy'), 'H4', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S124', '5:50 PM', TO_DATE('16-05-2021', 'dd-mm-yyyy'), 'H5', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S125', '12:22 PM', TO_DATE('04-10-2023', 'dd-mm-yyyy'), 'H6', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S126', '2:35 PM', TO_DATE('03-07-2021', 'dd-mm-yyyy'), 'H7', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S127', '8:48 AM', TO_DATE('10-08-2022', 'dd-mm-yyyy'), 'H8', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S128', '11:15 AM', TO_DATE('09-11-2023', 'dd-mm-yyyy'), 'H9', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S129', '9:29 AM', TO_DATE('20-05-2021', 'dd-mm-yyyy'), 'H10', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S130', '3:50 PM', TO_DATE('15-04-2023', 'dd-mm-yyyy'), 'H1', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S131', '2:51 PM', TO_DATE('13-08-2021', 'dd-mm-yyyy'), 'H2', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S132', '5:33 PM', TO_DATE('12-07-2022', 'dd-mm-yyyy'), 'H3', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S133', '10:02 AM', TO_DATE('11-12-2023', 'dd-mm-yyyy'), 'H4', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S134', '4:30 PM', TO_DATE('05-09-2022', 'dd-mm-yyyy'), 'H5', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S135', '7:39 PM', TO_DATE('21-02-2023', 'dd-mm-yyyy'), 'H6', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S136', '11:22 AM', TO_DATE('14-10-2022', 'dd-mm-yyyy'), 'H7', 'M2');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S137', '6:43 PM', TO_DATE('24-11-2022', 'dd-mm-yyyy'), 'H8', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S138', '12:13 PM', TO_DATE('16-04-2021', 'dd-mm-yyyy'), 'H9', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S139', '1:25 PM', TO_DATE('07-03-2022', 'dd-mm-yyyy'), 'H10', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S140', '7:20 PM', TO_DATE('23-08-2021', 'dd-mm-yyyy'), 'H1', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S141', '10:12 AM', TO_DATE('15-05-2022', 'dd-mm-yyyy'), 'H2', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S142', '5:19 PM', TO_DATE('18-01-2023', 'dd-mm-yyyy'), 'H3', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S143', '4:20 PM', TO_DATE('21-09-2023', 'dd-mm-yyyy'), 'H4', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S144', '9:43 AM', TO_DATE('05-07-2022', 'dd-mm-yyyy'), 'H5', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S145', '8:38 PM', TO_DATE('04-02-2022', 'dd-mm-yyyy'), 'H6', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S146', '11:10 AM', TO_DATE('23-11-2022', 'dd-mm-yyyy'), 'H7', 'M6');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S147', '3:20 PM', TO_DATE('12-12-2021', 'dd-mm-yyyy'), 'H8', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S148', '2:30 PM', TO_DATE('16-10-2023', 'dd-mm-yyyy'), 'H9', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S149', '10:20 AM', TO_DATE('02-04-2021', 'dd-mm-yyyy'), 'H10', 'M7');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S150', '7:02 PM', TO_DATE('07-06-2022', 'dd-mm-yyyy'), 'H1', 'M4');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S151', '6:19 PM', TO_DATE('23-05-2023', 'dd-mm-yyyy'), 'H2', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S152', '1:11 PM', TO_DATE('19-08-2021', 'dd-mm-yyyy'), 'H3', 'M8');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S153', '4:25 PM', TO_DATE('02-12-2022', 'dd-mm-yyyy'), 'H4', 'M10');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S154', '12:37 PM', TO_DATE('05-10-2023', 'dd-mm-yyyy'), 'H5', 'M1');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S155', '11:09 AM', TO_DATE('10-11-2022', 'dd-mm-yyyy'), 'H6', 'M5');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S156', '3:12 PM', TO_DATE('09-06-2022', 'dd-mm-yyyy'), 'H7', 'M9');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S157', '7:34 PM', TO_DATE('30-07-2022', 'dd-mm-yyyy'), 'H8', 'M3');
insert into movieschedule (schedule_id, movie_time, movie_date, hall_id, movie_id) values ('S158', '8:15 PM', TO_DATE('24-01-2023', 'dd-mm-yyyy'), 'H9', 'M10');
